id,observed_on_string,observed_on,quality_grade,license,latitude,longitude,positional_accuracy,scientific_name,common_name
15733165,8/18/2018,8/18/2018,casual,CC-BY-NC,35.258726,-90.216344,216,Danaus plexippus,Monarch
15733166,8/18/2018,8/18/2018,casual,CC-BY-NC,35.258726,-90.216344,216,Danaus plexippus,Monarch
15733209,8/14/2018,8/14/2018,casual,CC-BY-NC,33.458423,-91.534276,443,Danaus plexippus,Monarch
15759144,Tue Aug 21 2018 12:33:56 GMT-0500 (CDT),8/21/2018,research,,35.55625221,-92.46216513,5251,Danaus plexippus,Monarch
15792791,2018-08-22 3:38:36 PM CDT,8/22/2018,research,CC-BY-NC,36.06210709,-94.16009521,,Danaus plexippus,Monarch
15810080,8/22/2018,8/22/2018,casual,CC-BY-NC,36.297067,-93.041868,3428,Danaus plexippus,Monarch
15812307,Thu Aug 23 2018 09:30:45 GMT-0500 (CDT),8/23/2018,research,CC-BY-NC,36.20406057,-94.22758914,10,Danaus plexippus,Monarch
15817967,Thu Aug 23 2018 12:32:52 GMT-0500 (CDT),8/23/2018,research,,36.38082782,-94.20447922,10,Danaus plexippus,Monarch
15821420,8/23/2018,8/23/2018,research,CC-BY-NC,34.598733,-92.999187,,Danaus plexippus,Monarch
15839678,Fri Aug 24 2018 07:12:48 GMT-0500 (CDT),8/24/2018,research,CC-BY-NC,36.20420247,-94.22786197,5,Danaus plexippus,Monarch
15845069,2018-08-24 10:43:10 AM CDT,8/24/2018,casual,CC-BY-NC,34.8729221,-92.7377008,1600,Danaus plexippus,Monarch
15849150,8/23/2018,8/23/2018,casual,CC-BY-NC,34.845261,-92.216346,196,Danaus plexippus,Monarch
15849180,8/24/2018,8/24/2018,casual,CC-BY-NC,35.615739,-92.085014,196,Danaus plexippus,Monarch
15883667,Sat Aug 25 2018 11:50:11 GMT-0500 (CDT),8/25/2018,research,CC-BY-NC,36.0653695,-94.23290333,5,Danaus plexippus,Monarch
15883776,Sat Aug 25 2018 14:27:52 GMT-0500 (CDT),8/25/2018,casual,CC-BY-NC,36.06693079,-94.23372247,129,Danaus plexippus,Monarch
15944384,8/26/2018,8/26/2018,casual,CC-BY-NC,34.973509,-91.835723,,Danaus plexippus,Monarch
15953729,8/24/2018,8/24/2018,casual,CC-BY-NC,35.594286,-91.260445,432,Danaus plexippus,Monarch
15953770,8/25/2018,8/25/2018,casual,CC-BY-NC,35.707005,-92.566685,4028,Danaus plexippus,Monarch
15953848,8/25/2018,8/25/2018,research,CC-BY-NC,34.598733,-92.999187,4028,Danaus plexippus,Monarch
15953917,8/27/2018,8/27/2018,casual,CC-BY-NC,34.778466,-92.379723,199,Danaus plexippus,Monarch
15954001,8/27/2018,8/27/2018,casual,CC-BY-NC,33.803587,-93.812303,199,Danaus plexippus,Monarch
16002085,2018/08/29 8:48 AM CDT,8/29/2018,research,CC-BY-NC,34.83696108,-92.40575278,,Danaus plexippus,Monarch
16025421,Wed Aug 29 2018 14:47:42 GMT-0500 (CDT),8/29/2018,research,,36.3645954,-94.29591765,671,Danaus plexippus,Monarch
16030620,2018-08-24 11:23:49 AM CDT,8/24/2018,casual,CC-BY-NC,34.8521971,-92.770358,3599,Danaus plexippus,Monarch
16031100,2018-08-30 11:14:23 AM CDT,8/30/2018,casual,CC-BY-NC,35.19073837,-91.59296025,22,Danaus plexippus,Monarch
16031936,2018/08/28 10:24 AM CDT,8/28/2018,research,CC-BY-NC,34.67994934,-92.23183106,309,Danaus plexippus,Monarch
16055666,2018-08-23 7:23:07 PM CDT,8/23/2018,research,CC-BY-NC,36.10970306,-94.20236206,,Danaus plexippus,Monarch
16074562,Fri Aug 31 2018 12:41:48 GMT-0500 (CDT),8/31/2018,research,CC-BY-NC-SA,36.07309607,-94.16071737,65,Danaus plexippus,Monarch
16074845,Fri Aug 31 2018 12:45:38 GMT-0500 (CDT),8/31/2018,research,CC-BY-NC-SA,36.07276568,-94.16068411,5,Danaus plexippus,Monarch
16075555,2018-08-31 12:42:56 PM CDT,8/31/2018,research,CC-BY-NC,36.10728073,-94.20139313,,Danaus plexippus,Monarch
16077101,2018-08-31 11:03:19 AM CDT,8/31/2018,research,CC-BY-NC,36.10742569,-94.20162964,,Danaus plexippus,Monarch
16078170,8/31/2018,8/31/2018,research,CC-BY-NC,34.606864,-92.357091,194,Danaus plexippus,Monarch
16098771,2018-09-01 9:31:58 AM CDT,9/1/2018,casual,CC-BY-NC,34.82020561,-91.95940342,16,Danaus plexippus,Monarch
16100770,Sat Sep 01 2018 09:58:33 GMT-0500 (CDT),9/1/2018,research,CC-BY-NC-SA,36.07361644,-94.1606754,22,Danaus plexippus,Monarch
16101416,Sat Sep 01 2018 10:58:33 GMT-0500 (CDT),9/1/2018,research,CC-BY-NC,36.206249,-94.22820495,5,Danaus plexippus,Monarch
16105414,Sat Sep 01 2018 13:09:10 GMT-0500 (CDT),9/1/2018,research,CC-BY-NC,36.20403945,-94.22753784,10,Danaus plexippus,Monarch
16106297,Sat Sep 01 2018 13:17:28 GMT-0500 (CDT),9/1/2018,research,CC-BY-NC,36.20410793,-94.2276862,5,Danaus plexippus,Monarch
16130568,Sun Sep 02 2018 08:38:26 GMT-0500 (CDT),9/2/2018,research,CC-BY-NC,36.20419019,-94.22780153,30,Danaus plexippus,Monarch
16202793,Tue Sep 04 2018 09:35:58 GMT-0500 (CDT),9/4/2018,research,CC-BY-NC,34.83703909,-92.4058062,10,Danaus plexippus,Monarch
16205527,Tue Sep 04 2018 11:17:42 GMT-0500 (CDT),9/4/2018,casual,CC-BY-NC-SA,36.08219111,-94.16517294,22,Danaus plexippus,Monarch
16206847,Tue Sep 04 2018 12:06:29 GMT-0500 (CDT),9/4/2018,casual,CC-BY-NC,34.7220688,-92.33758413,5,Danaus plexippus,Monarch
16215359,Tue Sep 04 2018 16:14:16 GMT-0500 (CDT),9/4/2018,research,,36.365375,-94.29493667,65,Danaus plexippus,Monarch
16215404,Tue Sep 04 2018 13:23:05 GMT-0500 (CDT),9/4/2018,research,,36.36525,-94.29506667,5,Danaus plexippus,Monarch
16221841,Mon Sep 03 2018 14:48:02 GMT-0500 (CDT),9/3/2018,research,CC-BY-NC,35.862995,-94.30719667,165,Danaus plexippus,Monarch
